Student ID,Roll No,Name,Code,Total Marks,Obtained Marks,Credits
1,1000,Mathematics,101,100,78,4
1,1000,C++,102,100,85,3
1,1000,English,103,100,72,2
1,1000,Data Structures,104,100,91,4
1,1000,Networking,105,100,66,3
2,1001,Mathematics,101,100,95,4
2,1001,C++,102,100,92,3
2,1001,English,103,100,85,2
2,1001,Data Structures,104,100,79,4
2,1001,Networking,105,100,88,3
7,1002,Mathematics,101,100,78,4
7,1002,C++,102,100,85,3
7,1002,English,103,100,72,2
7,1002,Data Structures,104,100,91,4
7,1002,Networking,105,100,66,3
8,1003,Mathematics,101,100,95,4
8,1003,C++,102,100,92,3
8,1003,English,103,100,85,2
8,1003,Data Structures,104,100,79,4
8,1003,Networking,105,100,88,3
13,1004,Mathematics,101,100,78,4
13,1004,C++,102,100,85,3
13,1004,English,103,100,72,2
13,1004,Data Structures,104,100,91,4
13,1004,Networking,105,100,66,3
14,1005,Mathematics,101,100,95,4
14,1005,C++,102,100,92,3
14,1005,English,103,100,85,2
14,1005,Data Structures,104,100,79,4
14,1005,Networking,105,100,88,3
19,1006,Mathematics,101,100,78,4
19,1006,C++,102,100,85,3
19,1006,English,103,100,72,2
19,1006,Data Structures,104,100,91,4
19,1006,Networking,105,100,66,3
20,1007,Mathematics,101,100,95,4
20,1007,C++,102,100,92,3
20,1007,English,103,100,85,2
20,1007,Data Structures,104,100,79,4
20,1007,Networking,105,100,88,3
25,1008,Mathematics,101,100,78,4
25,1008,C++,102,100,85,3
25,1008,English,103,100,72,2
25,1008,Data Structures,104,100,91,4
25,1008,Networking,105,100,66,3
26,1009,Mathematics,101,100,95,4
26,1009,C++,102,100,92,3
26,1009,English,103,100,85,2
26,1009,Data Structures,104,100,79,4
26,1009,Networking,105,100,88,3
31,1010,Mathematics,101,100,78,4
31,1010,C++,102,100,85,3
31,1010,English,103,100,72,2
31,1010,Data Structures,104,100,91,4
31,1010,Networking,105,100,66,3
32,1011,Mathematics,101,100,95,4
32,1011,C++,102,100,92,3
32,1011,English,103,100,85,2
32,1011,Data Structures,104,100,79,4
32,1011,Networking,105,100,88,3
37,1012,Mathematics,101,100,78,4
37,1012,C++,102,100,85,3
37,1012,English,103,100,72,2
37,1012,Data Structures,104,100,91,4
37,1012,Networking,105,100,66,3
38,1013,Mathematics,101,100,95,4
