Student ID,Roll No,Name,Code,Total Marks,Obtained Marks,Credits
1,1000,Mathematics,101,100,78,4
1,1000,C++,102,100,85,3
1,1000,English,103,100,72,2
1,1000,Data Structures,104,100,91,4
1,1000,Networking,105,100,66,3
2,1001,Mathematics,101,100,95,4
2,1001,C++,102,100,92,3
2,1001,English,103,100,85,2
2,1001,Data Structures,104,100,79,4
2,1001,Networking,105,100,88,3
3,2000,Algorithms,201,100,55,4
3,2000,DBMS,202,100,60,4
3,2000,OS,203,100,48,3
3,2000,Networks,204,100,71,3
3,2000,Python,205,100,83,3
4,3000,Physics,301,100,62,4
4,3000,Chemistry,302,100,58,4
4,3000,Biology,303,100,74,3
4,3000,Mathematics,304,100,80,3
4,3000,English,305,100,67,2
5,3001,Physics,301,100,70,4
5,3001,Chemistry,302,100,75,4
5,3001,Biology,303,100,68,3
5,3001,Mathematics,304,100,82,3
5,3001,English,305,100,90,2
7,1002,Mathematics,101,100,78,4
7,1002,C++,102,100,85,3
7,1002,English,103,100,72,2
7,1002,Data Structures,104,100,91,4
7,1002,Networking,105,100,66,3
8,1003,Mathematics,101,100,95,4
8,1003,C++,102,100,92,3
8,1003,English,103,100,85,2
8,1003,Data Structures,104,100,79,4
8,1003,Networking,105,100,88,3
9,2001,Algorithms,201,100,55,4
9,2001,DBMS,202,100,60,4
9,2001,OS,203,100,48,3
9,2001,Networks,204,100,71,3
9,2001,Python,205,100,83,3
10,3002,Physics,301,100,62,4
10,3002,Chemistry,302,100,58,4
10,3002,Biology,303,100,74,3
10,3002,Mathematics,304,100,80,3
10,3002,English,305,100,67,2
11,3003,Physics,301,100,70,4
11,3003,Chemistry,302,100,75,4
11,3003,Biology,303,100,68,3
11,3003,Mathematics,304,100,82,3
11,3003,English,305,100,90,2
13,1004,Mathematics,101,100,78,4
13,1004,C++,102,100,85,3
13,1004,English,103,100,72,2
13,1004,Data Structures,104,100,91,4
13,1004,Networking,105,100,66,3
14,1005,Mathematics,101,100,95,4
14,1005,C++,102,100,92,3
14,1005,English,103,100,85,2
14,1005,Data Structures,104,100,79,4
14,1005,Networking,105,100,88,3
15,2002,Algorithms,201,100,55,4
15,2002,DBMS,202,100,60,4
15,2002,OS,203,100,48,3
15,2002,Networks,204,100,71,3
15,2002,Python,205,100,83,3
